player_id,player,pos,team,pick,tier,college,comp_n,comp_median,comp_p75,comp_p90,useful_rate,bust_rate,opening_pct,median_games,p_rec,p_rec_yds,p_rec_tds,p_rush_yds,p_rush_tds,p_pass_yds,p_pass_tds,p_ints,proj,upside
00-0040886,Nicholas Singleton,RB,TEN,165,Rd 4-5,Penn St.,98,37.9,88.4,133.6,13,44,0.0,12.0,7.3,58.4,0.0,140.4,0.8,0.0,0.0,0.0,28.3,66.3
00-0041524,Will Kacmarek,TE,MIA,87,Round 3,Ohio St.,34,23.8,60.5,68.4,9,53,67.6,9.0,11.9,130.6,0.8,0.0,0.0,0.0,0.0,0.0,23.8,75.6
00-0041041,Oscar Delp,TE,NO,73,Round 3,Georgia,34,23.8,60.5,68.4,9,53,26.8,9.0,9.2,101.7,0.7,0.0,0.0,0.0,0.0,0.0,19.0,58.8
00-0040879,Matthew Hibner,TE,BAL,133,Rd 4-5,SMU,66,16.9,40.4,70.9,3,70,43.1,8.0,10.3,114.4,0.3,0.0,0.0,0.0,0.0,0.0,18.4,44.8
00-0040887,Josh Cuevas,TE,BAL,173,Rd 4-5,Alabama,66,16.9,40.4,70.9,3,70,43.1,8.0,10.3,114.4,0.3,0.0,0.0,0.0,0.0,0.0,18.4,44.8
00-0041395,Eli Raridon,TE,NE,95,Round 3,Notre Dame,34,23.8,60.5,68.4,9,53,24.3,9.0,9.0,99.5,0.6,0.0,0.0,0.0,0.0,0.0,18.1,57.6
00-0041398,Riley Nowakowski,TE,PIT,169,Rd 4-5,Indiana,66,16.9,40.4,70.9,3,70,35.8,8.0,9.8,108.1,0.3,0.0,0.0,0.0,0.0,0.0,17.5,42.4
00-0041084,Tanner Koziol,TE,JAX,164,Rd 4-5,Houston,66,16.9,40.4,70.9,3,70,34.3,8.0,9.7,106.8,0.3,0.0,0.0,0.0,0.0,0.0,17.3,41.8
00-0041087,Joe Royer,TE,CLE,170,Rd 4-5,Cincinnati,66,16.9,40.4,70.9,3,70,31.4,8.0,9.4,104.3,0.3,0.0,0.0,0.0,0.0,0.0,16.9,40.9
00-0041558,Sam Roush,TE,CHI,69,Round 3,Stanford,34,23.8,60.5,68.4,9,53,4.4,9.0,7.5,82.2,0.5,0.0,0.0,0.0,0.0,0.0,15.0,47.6
