name,adp_standard,stdev_standard,bye,adp_half,stdev_half,adp_ppr,stdev_ppr,adp_2qb,stdev_2qb
Jalen Nailor,144.8,17.1,13,143.7,12.5,158.7,12.2,153.2,16.6
Dalton Kincaid,144.9,16.2,7,144.5,19.3,151.8,18.5,144.6,20.0
Daniel Jones,145.5,22.8,13,156.9,17.6,146.7,15.6,68.6,12.9
Jauan Jennings,145.9,16.2,6,146.5,12.3,146.3,14.9,157.7,12.9
Tyler Allgeier,146.5,21.6,14,150.5,28.6,165.5,22.8,148.9,25.0
Alvin Kamara,148.4,19.6,8,144.9,19.8,136.2,18.6,151.7,20.4
Tank Bigsby,149.5,16.9,10,161.5,33.9,156.7,19.0,170.4,11.6
Denzel Boston,149.7,19.8,11,150.0,15.6,153.1,17.9,159.4,17.5
Malik Washington,149.9,25.4,6,153.5,21.2,156.9,17.2,172.4,4.0
Isiah Pacheco,150.0,17.1,6,143.7,21.8,149.0,18.7,146.0,19.1
Antonio Williams,150.2,14.4,7,158.5,15.5,160.7,12.8,156.4,20.2
Hunter Henry,151.9,27.5,11,156.8,28.8,157.9,21.2,146.2,16.2
Tyrone Tracy Jr.,152.8,15.7,8,158.3,17.7,155.3,15.3,159.8,21.8
Kayshon Boutte,153.3,14.9,11,168.9,23.5,172.2,15.4,,
Kyler Murray,153.8,13.1,6,146.9,17.5,145.7,15.3,56.1,11.1
De'Zhaun Stribling,154.8,15.5,8,148.0,15.1,155.8,15.5,148.3,13.3
Juwan Johnson,155.0,21.9,8,157.1,25.9,159.9,21.4,,
Sam Darnold,155.7,15.3,11,145.4,8.5,142.2,12.0,51.9,9.6
Jordan Love,155.7,14.0,11,148.6,16.6,148.0,14.8,52.9,11.5
Keaton Mitchell,155.9,19.9,7,148.1,29.7,159.7,25.6,153.2,21.5
Brian Robinson,156.1,17.3,11,,,165.1,20.2,143.0,18.4
Cooper Kupp,156.5,15.3,11,155.5,20.4,160.5,17.3,159.5,14.5
Adonai Mitchell,158.1,12.9,13,158.6,13.7,162.2,13.0,167.0,8.6
Tyjae Spears,158.6,18.7,9,147.7,15.3,129.3,11.0,143.5,19.6
Germie Bernard,158.6,21.4,9,,,170.0,11.7,167.2,10.1
Malik Willis,159.2,19.0,6,160.7,14.4,160.6,14.2,75.4,8.7
Kenyon Sadiq,159.4,18.4,13,163.2,18.6,160.6,18.4,130.4,32.0
Jake Ferguson,159.6,19.2,14,146.6,19.1,139.2,21.4,150.1,21.2
Ja'Kobi Lane,159.9,13.3,13,160.6,20.3,160.8,20.3,,
Travis Hunter,162.1,13.2,7,157.3,15.8,164.0,17.5,154.5,22.9
Darnell Mooney,164.2,10.2,8,,,184.5,14.5,,
C.J. Stroud,165.2,15.3,8,169.6,11.7,161.6,12.0,66.3,10.9
Brenton Strange,165.8,8.6,7,157.5,22.4,165.1,17.8,142.0,14.5
Tre' Harris,168.0,12.9,7,,,169.3,16.5,,
Omar Cooper Jr.,169.2,8.9,13,163.2,11.6,164.9,15.9,153.0,16.8
James Conner,,,14,147.6,11.3,184.8,17.3,,
Kimani Vidal,,,7,150.2,37.9,165.2,13.7,,
Jonah Coleman,,,10,154.2,9.9,147.7,24.5,,
T.J. Hockenson,,,6,159.7,19.1,155.6,29.4,,
Jordan James,,,8,162.4,9.3,163.4,19.1,,
Ryan Flournoy,,,14,164.2,13.2,176.4,14.1,153.4,11.1
Dylan Sampson,,,11,164.6,28.0,160.0,14.5,,
Kaelon Black,,,8,165.2,9.4,156.5,24.7,,
Mike Washington Jr.,,,13,168.1,23.7,148.4,20.2,,
Chig Okonkwo,,,7,176.3,14.9,162.3,19.3,145.9,24.7
Cam Ward,,,9,184.9,21.9,174.2,17.9,94.2,11.4
MarShawn Lloyd,,,11,,,142.4,21.2,,
Jaydon Blue,,,14,,,152.0,47.4,,
Cade Otton,,,10,,,153.3,35.3,,
Braelon Allen,,,13,,,153.6,49.2,,
Dalton Schultz,,,8,,,160.3,25.3,166.2,8.9
Ray Davis,,,7,,,160.8,27.0,,
Cyrus Allen,,,5,,,161.8,18.3,,
Ty Johnson,,,7,,,163.4,44.8,,
AJ Dillon,,,5,,,164.1,18.0,,
Fernando Mendoza,,,13,,,165.0,20.5,129.6,18.6
Oronde Gadsden,,,7,,,165.7,37.4,,
Jacoby Brissett,,,14,,,165.8,17.2,106.5,14.5
Justice Hill,,,13,,,166.4,10.5,,
Greg Dulcich,,,6,,,167.9,26.3,,
Emari Demercado,,,5,,,168.0,19.4,140.0,8.4
AJ Barner,,,11,,,168.0,11.3,,
Samaje Perine,,,6,,,168.7,26.8,,
Bryce Young,,,5,,,171.2,15.0,88.4,7.5
Zachariah Branch,,,11,,,173.7,7.1,,
Aaron Rodgers,,,9,,,173.9,22.4,112.6,16.1
Dontayvion Wicks,,,10,,,177.3,18.1,,
Isaac TeSlaa,,,6,,,177.4,20.0,158.4,15.6
Darius Slayton,,,8,,,180.0,24.6,,
Christian Kirk,,,8,,,182.6,16.9,,
Geno Smith,,,13,,,,,108.5,10.5
Chimere Dike,,,9,,,,,120.2,25.1
Deshaun Watson,,,11,,,,,130.8,22.8
Tua Tagovailoa,,,11,,,,,135.5,20.6
Kirk Cousins,,,13,,,,,137.5,19.8
Shedeur Sanders,,,11,,,,,139.9,17.4
Michael Penix Jr.,,,11,,,,,142.5,16.6
Carson Beck,,,14,,,,,142.6,7.9
Brandon Aiyuk,,,8,,,,,150.9,19.5
