player,pos,team,depth_rank,ahead_count,ahead_volume,own_volume,room_volume,share_of_room
Hollywood Brown,WR,PHI,4,3,159,0,192,0.0
Elijah Moore,WR,PHI,5,4,159,17,192,8.9
Darius Cooper,WR,PHI,6,5,176,11,192,5.7
Johnny Wilson,WR,PHI,7,6,187,0,192,0.0
Quez Watkins,WR,PHI,8,7,187,0,192,0.0
Danny Gray,WR,PHI,9,8,187,0,192,0.0
Erik Ezukanma,WR,PHI,10,9,187,0,192,0.0
Tahj Washington,WR,PHI,11,10,187,5,192,2.6
Aaron Rodgers,QB,PIT,1,0,0,1,1,100.0
Mason Rudolph,QB,PIT,2,1,1,0,1,0.0
Will Howard,QB,PIT,3,2,1,0,1,0.0
Drew Allar,QB,PIT,4,3,1,0,1,0.0
Jaylen Warren,RB,PIT,1,0,0,211,447,47.2
Rico Dowdle,RB,PIT,2,1,211,236,447,52.8
Eli Heidenreich,RB,PIT,3,2,447,0,447,0.0
Lew Nichols,RB,PIT,4,3,447,0,447,0.0
Pat Freiermuth,TE,PIT,1,0,0,54,98,55.1
Darnell Washington,TE,PIT,2,1,54,43,98,43.9
Robert Tonyan,TE,PIT,3,2,97,1,98,1.0
Lake McRee,TE,PIT,4,3,98,0,98,0.0
Lance Mason,TE,PIT,5,4,98,0,98,0.0
DK Metcalf,WR,PIT,1,0,0,99,126,78.6
Michael Pittman Jr.,WR,PIT,2,1,99,0,126,0.0
Roman Wilson,WR,PIT,3,2,99,21,126,16.7
Germie Bernard,WR,PIT,4,3,120,0,126,0.0
Ben Skowronek,WR,PIT,5,4,120,6,126,4.8
Kaden Wetjen,WR,PIT,6,5,126,0,126,0.0
Cole Burgess,WR,PIT,7,6,126,0,126,0.0
Brandon Smith,WR,PIT,8,7,126,0,126,0.0
Cornell Powell,WR,PIT,11,8,126,0,126,0.0
Isaiah Winstead,WR,PIT,12,9,126,0,126,0.0
Sam Darnold,QB,SEA,1,0,0,0,0,0.0
Drew Lock,QB,SEA,2,1,0,0,0,0.0
Jalen Milroe,QB,SEA,3,2,0,0,0,0.0
Jadarian Price,RB,SEA,1,0,0,0,336,0.0
George Holani,RB,SEA,2,1,0,22,336,6.5
Emanuel Wilson,RB,SEA,3,2,22,125,336,37.2
Zach Charbonnet,RB,SEA,4,3,147,184,336,54.8
Jacardia Wright,RB,SEA,5,4,331,5,336,1.5
AJ Barner,TE,SEA,1,0,0,68,102,66.7
Eric Saubert,TE,SEA,2,1,68,7,102,6.9
Elijah Arroyo,TE,SEA,3,2,75,26,102,25.5
Nick Kallerup,TE,SEA,4,3,101,1,102,1.0
Nick Vannett,TE,SEA,5,4,102,0,102,0.0
Lance Mason,TE,SEA,6,5,102,0,102,0.0
Jaxon Smith-Njigba,WR,SEA,1,0,0,163,349,46.7
Rashid Shaheed,WR,SEA,2,1,163,92,349,26.4
Cooper Kupp,WR,SEA,3,2,255,70,349,20.1
Tory Horton,WR,SEA,4,3,325,22,349,6.3
Montorie Foster Jr.,WR,SEA,5,4,347,0,349,0.0
Irv Charles,WR,SEA,6,5,347,0,349,0.0
Jake Bobo,WR,SEA,7,6,347,2,349,0.6
Emmanuel Henderson Jr.,WR,SEA,10,7,349,0,349,0.0
Julian Hicks,WR,SEA,11,8,349,0,349,0.0
Brock Purdy,QB,SF,1,0,0,0,0,0.0
Mac Jones,QB,SF,2,1,0,0,0,0.0
Kurtis Rourke,QB,SF,3,2,0,0,0,0.0
Adrian Martinez,QB,SF,4,3,0,0,0,0.0
Christian McCaffrey,RB,SF,1,0,0,311,327,95.1
Kaelon Black,RB,SF,2,1,311,0,327,0.0
Jordan James,RB,SF,3,2,311,0,327,0.0
Isaac Guerendo,RB,SF,4,3,311,0,327,0.0
Khalil Herbert,RB,SF,5,4,311,16,327,4.9
Patrick Taylor Jr.,RB,SF,7,5,327,0,327,0.0
George Kittle,TE,SF,1,0,0,69,130,53.1
Jake Tonges,TE,SF,2,1,69,46,130,35.4
Luke Farrell,TE,SF,3,2,115,14,130,10.8
Brayden Willis,TE,SF,4,3,129,1,130,0.8
Hayden Rucci,TE,SF,5,4,130,0,130,0.0
Khalil Dinkins,TE,SF,6,5,130,0,130,0.0
Tanner McLachlan,TE,SF,8,6,130,0,130,0.0
Mike Evans,WR,SF,1,0,0,62,215,28.8
Deebo Samuel,WR,SF,2,1,62,0,215,0.0
De'Zhaun Stribling,WR,SF,3,2,62,0,215,0.0
Demarcus Robinson,WR,SF,4,3,62,35,215,16.3
Jordan Watkins,WR,SF,5,4,97,3,215,1.4
Jacob Cowing,WR,SF,6,5,100,0,215,0.0
Christian Kirk,WR,SF,7,6,100,52,215,24.2
Brandon Aiyuk,WR,SF,8,7,152,0,215,0.0
Ricky Pearsall,WR,SF,9,8,152,53,215,24.7
Will Pauling,WR,SF,10,9,205,0,215,0.0
KhaDarel Hodge,WR,SF,11,10,205,10,215,4.7
Baker Mayfield,QB,TB,1,0,0,0,0,0.0
Jalon Daniels,QB,TB,2,1,0,0,0,0.0
Bucky Irving,RB,TB,1,0,0,173,377,45.9
Kenny Gainwell,RB,TB,2,1,173,114,377,30.2
Sean Tucker,RB,TB,3,2,287,86,377,22.8
Josh Williams,RB,TB,4,3,373,4,377,1.1
Kadarius Calloway,RB,TB,5,4,377,0,377,0.0
Cade Otton,TE,TB,1,0,0,81,85,95.3
Payne Durham,TE,TB,2,1,81,4,85,4.7
Ko Kieft,TE,TB,3,2,85,0,85,0.0
Bauer Sharp,TE,TB,4,3,85,0,85,0.0
Kenny Fletcher Jr.,TE,TB,6,4,85,0,85,0.0
Emeka Egbuka,WR,TB,1,0,0,127,244,52.0
Chris Godwin Jr.,WR,TB,2,1,127,51,244,20.9
Jalen McMillan,WR,TB,3,2,178,15,244,6.1
Ted Hurst III,WR,TB,4,3,193,0,244,0.0
Tez Johnson,WR,TB,5,4,193,44,244,18.0
Kameron Johnson,WR,TB,6,5,237,7,244,2.9
David Sills V,WR,TB,7,6,244,0,244,0.0
Dean Patterson,WR,TB,9,7,244,0,244,0.0
Eric Rivers Jr.,WR,TB,10,8,244,0,244,0.0
Dennis Houston,WR,TB,12,9,244,0,244,0.0
Cam Ward,QB,TEN,1,0,0,0,0,0.0
Mitchell Trubisky,QB,TEN,2,1,0,0,0,0.0
Will Levis,QB,TEN,3,2,0,0,0,0.0
Hendon Hooker,QB,TEN,4,3,0,0,0,0.0
Tony Pollard,RB,TEN,1,0,0,242,342,70.8
Tyjae Spears,RB,TEN,2,1,242,72,342,21.1
Nicholas Singleton,RB,TEN,3,2,314,0,342,0.0
Julius Chestnut,RB,TEN,4,3,314,11,342,3.2
Kalel Mullings,RB,TEN,5,4,325,3,342,0.9
D'Ernest Johnson,RB,TEN,7,5,328,14,342,4.1
Gunnar Helm,TE,TEN,1,0,0,55,96,57.3
Daniel Bellinger,TE,TEN,2,1,55,26,96,27.1
Kylen Granson,TE,TEN,3,2,81,9,96,9.4
David Martin-Robinson,TE,TEN,4,3,90,6,96,6.2
Jaren Kanak,TE,TEN,5,4,96,0,96,0.0
Carnell Tate,WR,TEN,1,0,0,0,350,0.0
Wan'Dale Robinson,WR,TEN,2,1,0,140,350,40.0
Calvin Ridley,WR,TEN,3,2,140,36,350,10.3
Chimere Dike,WR,TEN,4,3,176,74,350,21.1
Elic Ayomanor,WR,TEN,5,4,250,89,350,25.4
Xavier Restrepo,WR,TEN,6,5,339,7,350,2.0
Mason Kinsey,WR,TEN,7,6,346,4,350,1.1
K.J. Osborn,WR,TEN,8,7,350,0,350,0.0
Lance McCutcheon,WR,TEN,10,8,350,0,350,0.0
Courtney Jackson,WR,TEN,11,9,350,0,350,0.0
Tyren Montgomery,WR,TEN,12,10,350,0,350,0.0
Hank Beatty,WR,TEN,13,11,350,0,350,0.0
Jayden Daniels,QB,WAS,1,0,0,0,0,0.0
Marcus Mariota,QB,WAS,2,1,0,0,0,0.0
Athan Kaliakmanis,QB,WAS,3,2,0,0,0,0.0
Jacory Croskey-Merritt,RB,WAS,1,0,0,175,378,46.3
Rachaad White,RB,WAS,2,1,175,132,378,34.9
Kaytron Allen,RB,WAS,3,2,307,0,378,0.0
Jeremy McNichols,RB,WAS,4,3,307,44,378,11.6
Robert Henry Jr.,RB,WAS,5,4,351,0,378,0.0
Craig Reynolds,RB,WAS,6,5,351,3,378,0.8
Jerome Ford,RB,WAS,7,6,354,24,378,6.3
Chig Okonkwo,TE,WAS,1,0,0,79,111,71.2
John Bates,TE,WAS,2,1,79,16,111,14.4
Ben Sinnott,TE,WAS,3,2,95,13,111,11.7
Colson Yankoff,TE,WAS,4,3,108,3,111,2.7
Quentin Moore,TE,WAS,5,4,111,0,111,0.0
Tre' McKitty,TE,WAS,6,5,111,0,111,0.0
Terry McLaurin,WR,WAS,1,0,0,60,269,22.3
Stefon Diggs,WR,WAS,2,1,60,102,269,37.9
Antonio Williams,WR,WAS,3,2,162,0,269,0.0
Luke McCaffrey,WR,WAS,4,3,162,15,269,5.6
Treylon Burks,WR,WAS,5,4,177,22,269,8.2
Dyami Brown,WR,WAS,6,5,199,37,269,13.8
Jaylin Lane,WR,WAS,7,6,236,32,269,11.9
Jacoby Jones,WR,WAS,8,7,268,1,269,0.4
Jaden Bradley,WR,WAS,10,8,269,0,269,0.0
River Cracraft,WR,WAS,12,9,269,0,269,0.0
Chris Hilton Jr.,WR,WAS,13,10,269,0,269,0.0
