team,pos,weeks,opponents,sos_pctl,sos_label
TEN,WR,"15,16,17","IND,LV,PIT",77.1,Easy
WAS,WR,"15,16,17","ATL,MIN,JAX",42.7,Neutral
ARI,TE,"15,16,17","NYJ,NO,LV",43.8,Neutral
ATL,TE,"15,16,17","WAS,TB,NO",71.9,Easy
BAL,TE,"15,16,17","PIT,CLE,CIN",77.1,Easy
BUF,TE,"15,16,17","CHI,DEN,MIA",62.5,Neutral
CAR,TE,"15,16,17","CIN,PIT,SEA",86.5,Easy
CHI,TE,"15,16,17","BUF,GB,DET",31.2,Tough
CIN,TE,"15,16,17","CAR,IND,BAL",51.0,Neutral
CLE,TE,"15,16,17","NYG,BAL,IND",40.6,Neutral
DAL,TE,"15,16,17","LA,JAX,NYG",50.0,Neutral
DEN,TE,"15,16,17","LV,BUF,NE",28.1,Tough
DET,TE,"15,16,17","MIN,NYG,CHI",32.3,Tough
GB,TE,"15,16,17","MIA,CHI,HOU",59.4,Neutral
HOU,TE,"15,16,17","JAX,PHI,GB",35.4,Neutral
IND,TE,"15,16,17","TEN,CIN,CLE",66.7,Easy
JAX,TE,"15,16,17","HOU,DAL,WAS",56.2,Neutral
KC,TE,"15,16,17","NE,SF,LAC",54.2,Neutral
LA,TE,"15,16,17","DAL,SEA,TB",61.5,Neutral
LAC,TE,"15,16,17","SF,MIA,KC",63.5,Neutral
LV,TE,"15,16,17","DEN,TEN,ARI",70.8,Easy
MIA,TE,"15,16,17","GB,LAC,BUF",17.7,Tough
MIN,TE,"15,16,17","DET,WAS,NYJ",76.0,Easy
NE,TE,"15,16,17","KC,NYJ,DEN",53.1,Neutral
NO,TE,"15,16,17","TB,ARI,ATL",64.6,Neutral
NYG,TE,"15,16,17","CLE,DET,DAL",42.7,Neutral
NYJ,TE,"15,16,17","ARI,NE,MIN",62.5,Neutral
PHI,TE,"15,16,17","SEA,HOU,SF",62.5,Neutral
PIT,TE,"15,16,17","BAL,CAR,TEN",46.9,Neutral
SEA,TE,"15,16,17","PHI,LA,CAR",37.5,Neutral
SF,TE,"15,16,17","LAC,KC,PHI",14.6,Tough
TB,TE,"15,16,17","NO,ATL,LA",34.4,Tough
TEN,TE,"15,16,17","IND,LV,PIT",59.4,Neutral
WAS,TE,"15,16,17","ATL,MIN,JAX",35.4,Neutral
